Organization Name,Organization Name URL,Categories,Full Description
abode,https://www.crunchbase.com/organization/abode,"Security, Smart Home","Abode, an integrated consumer software and hardware solution, enables home security and automation with easy to use technology.  The solution offers beautifully engineered devices, self-installation, no-contract monitoring, mobile applications, and powerful cloud functionality to ensure homes remain secure."
ABOUT YOU,https://www.crunchbase.com/organization/about-you,"E-Commerce, Fashion, Retail, Shopping","ABOUT YOU is an eCommerce platform for clothing, shoes and accessories. As a fashion and technology corporation, along with their strong team, their ambition is to digitalize the classic shopping stroll by creating an inspiring and personalized shopping experience on the smartphone. This is why they created ABOUT YOU, a shopping destination where people can discover fashion that really fits their personality from a range of more than 1.200 brands. With its consistent focus on personalization, inspiration and mobile shopping, ABOUT YOU has created sales in excess of €461 million in the fifth fiscal year 2018/19 and is now one of the largest fashion e-tailers in Germany."
Abacus Insights,https://www.crunchbase.com/organization/abacus-insights,"Analytics, Health Care, Information Technology, SaaS, Software","Abacus Insights designs and operates data management platform as a service and analytics application ecosystem that offers healthcare data and provides integrated solutions through the collection of enterprise-wide data, both structured and unstructured. The platform also offers maintenance and support services to the clients.  Minarkumar Ashok Patel founded Abacus Insights in 2017. It has its headquarters in New York City."
ABODO,https://www.crunchbase.com/organization/abodo,"Internet, Local Advertising, Real Estate, Search Engine","ABODO is a venture-backed hyper-local apartment search service startup. For the hundreds of thousands of renters who have used ABODO to find their next home, its hyperlocal, extensive library of apartments finally makes apartment hunting intuitive and easy.  And for the thousands of property managers nationwide that use ABODO to reach renters, the company makes finding qualified, interested renters frictionless, and modern. ABODO was established in 2011 and is based in Madison, Wisconsin."
Abeona Therapeutics,https://www.crunchbase.com/organization/abeona-therapeutics,"Biotechnology, Genetics, Health Care, Medical Device, Wireless","Abeona Therapeutics, Inc. is developing gene therapy based potential cures for the deadly childhood diseases Sanfilippo (SF) Syndrome Type A and Type B."
Abacus Labs,https://www.crunchbase.com/organization/abacus-labs,"Accounting, Information Technology, SaaS, Software, Travel","Abacus Labs, Inc. develops Abacus, a mobile application that simplifies and enhances the expense-management system for employees and managers. Abacus was founded in 2013 by Omar, Ted, and Josh with a simple idea: when employees at your company incur expenses, you should be able to pay them back quickly. Abacus has been designed from the ground up to keep pace with the speed at which business now moves. Replacing the expense report with a real time expense system, Abacus is helping businesses get money wherever it needs to go faster. By accounting for company spend at the expense level as it’s happening, Abacus keeps all company business systems in sync and offers the most dynamic reporting on the market. Its goal is to provide finance teams with tools and data that enable them to become a strategic pillar in their organization."
Abundant Robotics,https://www.crunchbase.com/organization/abundant-robotics,"Agriculture, AgTech, Food and Beverage, Robotics","Abundant Robotics  mission: Deliver robotic systems for the hardest jobs in agriculture. As robotics researchers, we’ve broken new ground in a variety of domains. For the past two years we’ve focused on hard problems in agriculture and are spinning-out of SRI International to build products based on their successful research.  They are global experts in their field, love solving important problems, like working together, and are passionate about building great products and working with like-minded folks. Customers are grappling with urgent problems and are incredibly enthusiastic about the solution we’ve demonstrated."
Absaroka Energy,https://www.crunchbase.com/organization/absaroka-energy,Renewable Energy,Absaroka Energy is committed to providing clean renewable energy by creating innovative solutions that enhance our electrical infrastructure. They are driven by their commitment to their communities and providing cleaner energy for future generations.
Abivax,https://www.crunchbase.com/organization/abivax,Biotechnology,"ABIVAX is a pioneering biotech company. We have pioneered a unique and proprietary anti-viral platform technology, focused on the “killing” of RNA. This has already generated lead compounds for multiple viral diseases, such as Dengue and Chikungunya."
Abl Schools,https://www.crunchbase.com/organization/abl-schools,"EdTech, Education, Software","Abl is building a new kind of school operations software that helps school leaders better manage their time and resources.  Their mission is to transform education by helping schools create flexible, transparent, and collaborative learning environments."
AbsolutData,https://www.crunchbase.com/organization/absolutdata,"Analytics, Big Data, Consulting, Data Integration","AbsolutData is an award-winning, consulting-oriented, Analytics & Research firm with a number of Fortune 500 clients in a wide variety of industries across more than 40 countries. We are based in San Francisco Bay area with local offices throughout the U.S. and a delivery center in New Delhi, India."
Abu Dhabi Commercial Bank,https://www.crunchbase.com/organization/abu-dhabi-commercial-bank,"Banking, Finance, Financial Services","At ADCB, their objective is to become the most valuable bank in the UAE. Since its formation in 1985, the bank has grown and its presence and has gone from strength to strength with more than 5000 employees."
Able Lending,https://www.crunchbase.com/organization/able,"Credit, Finance, FinTech, Small and Medium Businesses","Able is the lowest-cost online lender to small businesses in the nation.  Our passion is to fund businesses at any stage with a new kind of loan that lets borrowers get more capital at lower rates when they recruit some support from friends, family and fans. On average Able’s borrowers save $31,000 on loans between $25,000 and $1,000,000. Able is “more than a loan.” We connect extraordinary entrepreneurs with additional capital, community resources, and expert advice when it’s time to grow.  To learn more, nominate your favorite business, or get pre-approved in 1 minute visit: www.ablelending.com"
AbbVie,https://www.crunchbase.com/organization/abbvie,"Biotechnology, Health Care, Medical, Pharmaceutical","AbbVie is a global, research-based biopharmaceutical company formed in 2013 following separation from Abbott. The company's mission is to use its expertise, dedicated people and unique approach to innovation to develop and market advanced therapies that address some of the world's most complex and serious diseases.  In 2013, AbbVie employs approximately 21,000 people worldwide and markets medicines in more than 170 countries."
AblaCare,https://www.crunchbase.com/organization/ablacare,Medical Device,"AblaCare develops an innovative solution for Polycystic Ovary Syndrome (PCOS) related infertility, designed to provide patients with a more natural and less medicalised pregnancy experience. AblaCare aims to restore ovulation in PCOS patients through a simple, one-time, durable, minimally invasive treatment. AblaCare's procedure is done transvaginally, under ultrasound guidance, and does not require general anesthesia. The technique can be performed in the clinic setting using the same minimally invasive access commonly used by fertility physicians for IVF."
ABB,https://www.crunchbase.com/organization/abb,"Automotive, Energy, Robotics, Transportation","ABB is engaged in power and automation technologies. The company provides a range of products, systems, solutions, and services. Its power businesses focus on power transmission, distribution, and power-plant automation and serve electric, gas and water utilities, as well as industrial and commercial customers. Its automation businesses serve a range of industries with measurement, control, protection, and process optimization applications. It operates in approximately 100 countries across four regions: Europe, the Americas, Asia, and the Middle East and Africa (MEA). During the year ended December 31, 2011, the business consisted of five divisions: Power Products, Power Systems, Discrete Automation and Motion, Low Voltage Products and Process Automation. On January 26, 2011, the company acquired Baldor Electric Company (Baldor). In May 2011, it purchased a controlling interest in United States-based Validus DC Systems."
ABC Fintech,https://www.crunchbase.com/organization/abc-fintech,"Artificial Intelligence, Cloud Management, Enterprise Software, Financial Services, FinTech","ABC Fintech provides AI-driven cloud services for financial professionals. Its products, Modeling.ai and Eversight.ai, can improve the efficiency of how equity research and investment decisions are made in financial institutions, as well as to predict future trend. The company was founded in 2016 by Yongzhi Yang, who is also the founder and CEO of MoboTap Inc, the company behind Dolphin Browser. So far, ABC Fintech has raised a total of $60 million USD from Qiming Venture Partners, Source Code Capital, SIG Asia Investment, Welight Capital, and MindWorks Ventures."
Ablative Solutions,https://www.crunchbase.com/organization/ablative-solutions,"Biotechnology, Health Care, Medical Device","Ablative Solutions, Inc., was founded in 2011 by Tim Fischell, MD, FACC, and David Fischell, PhD, to address this significant unmet medical need.  Ablative Solutions’ technology involves endovascular catheters to provide an efficacious, durable, cost-effective and safe alternative to surgical renal denervation for the treatment of hypertension and other diseases caused by an overactive sympathetic nervous system."
Abacus,https://www.crunchbase.com/organization/abacusfi,"Blockchain, Finance, Financial Services, FinTech","Abacus is an administration platform for company, fund, and real estate securities powered by the blockchain. Founded in 2018, Abacus is headquartered in San Francisco, California."
ABA Cooltrans,https://www.crunchbase.com/organization/aba-cooltrans,"Delivery, Logistics, Transportation","ABA is a service provider in the field of integrated cold chain logistics, servicing customers on a PAN-Vietnam basis.  The company owns a large fleet of trucks and the warehouse with the aim to build a sole and first standardized integrated cold chain logistics in Vietnam through one window service."
Ablynx,https://www.crunchbase.com/organization/ablynx,"Biopharma, Biotechnology, Pharmaceutical","Ablynx is a biopharmaceutical company engaged in the discovery and development of Nanobodies®, a novel class of therapeutic proteins based on single-domain antibody fragments, for a range of serious human diseases, including inflammation, haematology, oncology and pulmonary disease. Today, the Company has approximately 25 projects in the pipeline and five Nanobodies in clinical development."
ABA English,https://www.crunchbase.com/organization/aba-english,"EdTech, Education, Internet","The online academy ABA English offers a unique teaching methodology and uses its own proprietary technology. Headquartered in Barcelona, ABA English comprises a diverse team of people from different nationalities -- UK, USA, Italy, France, Spain, Russia, Argentina, Mexico, among others -- who contribute their expertise in various fields: English teaching, e-learning, computer technologies, e-commerce and management."
AbiliSense,https://www.crunchbase.com/organization/abilisense,"Artificial Intelligence, Audio, Automotive, Health Care, Homeland Security, Intelligent Systems, Internet of Things, Security, Sensor","AbiliSense develops a technology that empowers IoT devices by smart listening abilities. By continuously monitoring sounds from the environment, the system can provide alerts in cases of danger, accidents, and suspicious activity, directly to applications, emergency call-centers or smart devices of any type (IoT)."
ABSENTIA,https://www.crunchbase.com/organization/absentia,"Consumer Electronics, Electronics, Virtual Reality","Virtual Reality is a potential multi-billion dollar market worldwide, and India is one of the emerging markets. Its applications span across sectors like gaming, education, healthcare, real estate, architecture, online shopping etc."
Abe's Market,https://www.crunchbase.com/organization/abes-market,"E-Commerce, Internet, Marketplace, Social Entrepreneurship",Abe's Market is the online marketplace that gives natural product entrepreneurs a platform to showcase their products and tell their unique stories.
Abu Dhabi National Oil Company,https://www.crunchbase.com/organization/abu-dhabi-national-oil-company,Oil and Gas,"Abu Dhabi National Oil Company (ADNOC) was established in 1971 to operate in all areas of the oil and gas industry and since then has steadily broadened its activity in establishing companies and subsidiaries and creating an integrated oil and gas industry in the fields of exploration and production, support services, oil refining and gas processing, chemicals and petrochemicals, maritime transportation and refined products and distribution. The Supreme Petroleum Council (SPC), chaired by His Highness Sheikh Khalifa Bin Zayed Al- Nahyan, President of the UAE and Ruler of Abu Dhabi, formulates and oversees the implementation of Abu Dhabi petroleum policies. During the past four decades, ADNOC has expanded its business activities, enhanced its competitive position and so managed to become one of the world’s leading oil companies with substantial business interests in upstream and downstream activities, including transportation, shipping, marketing and distribution. ADNOC’s efforts in the exploration and production field have concentrated on assessing undiscovered reserves and optimizing hydrocarbon recovery by improving the reservoir management. Over the last few years significant achievements were made in the expansion and development of gas fields to meet increased demand from industry gas users and gas injection requirements in order to enhance the oil and condensate recovery from the producing fields. ADNOC is committed to sustainable development.  In 2009, the company has launched the ‘ADNOC Sustainability Performance Initiative’ ensuring a harmonious balance between society’s needs and Earth’s resources, while its track record in HSE sets the standards for the rest of the Arabian Gulf. Giving top priority to education, ADNOC established a number of institutions that train and develop a qualified UAE cadre for the energy sector. The Petroleum Institute, The Glenelg School of Abu Dhabi, the ADNOC Technical Institute, the Achievers’ Oasis and other scholarship programs are but a few examples of ADNOC’s educational projects. ADNOC has 15 subsidiary companies working in the various fields of the oil, gas, and petrochemical industry as well as crude oil and gas transport and services. They include ADCO, ADMA-OPCO, GASCO, ADGAS, ZADCO, TAKREER, NDC, ESNAAD, IRSHAD, FERTIL, BOROUGE, ADNATCO-NGSCO, ADNOC Distribution, Elixier and Al Hosn Gas."
Able C&C Co.,https://www.crunchbase.com/organization/able-c-c-co,"Cosmetics, Personal Health","ABLE C&C Co., Ltd. is a Korea-based company engaged in the manufacture of cosmetics and household goods. The Company’s products include skin care products, body care products, hair care products, base makeup products, point makeup products, cleansing products and mask products, as well as men’s cosmetics."
AbCellera Biologics,https://www.crunchbase.com/organization/abcellera-biologics,"Biotechnology, Medical, Therapeutics",AbCellera Biologics offers development of antibody therapeutics to improve patient outcomes.
Abzena plc,https://www.crunchbase.com/organization/abzena,"Biopharma, Biotechnology, Therapeutics","Abzena (AIM: ABZA) provides proprietary technologies and complementary services to enable the development and manufacture of biopharmaceutical products, a growing area that requires specialist knowledge and expertise. The Group has a global customer base which includes the majority of the top 20 biopharmaceutical companies as well as large and small biotech companies and academic groups. The term “Abzena inside” is used by Abzena to describe products that have been created using its proprietary technologies and are being developed by its partners, and include Composite Human Antibodies™ and ThioBridge™ Antibody Drug Conjugates (ADCs). Abzena has the potential to earn future licence fees, milestone payments and/or royalties on “Abzena inside” products. Abzena offers the following services and technologies across its sites in Cambridge (UK), San Diego, California (USA) and Bristol, Pennsylvania (USA). •Immunogenicity assessment, protein engineering to create humanized antibodies and deimmunised therapeutic proteins, and cell line development for manufacture. •Contract process development and manufacture of biopharmaceuticals, including monoclonal antibodies, recombinant proteins, vaccines, and gene therapy and cell therapy products, for preclinical and clinical studies. •Proprietary site-specific conjugation technologies for antibody drug conjugate development and solutions for optimizing the therapeutic properties of biopharmaceuticals. •Contract chemistry and bioconjugation business focused on ADCs and is establishing the capability to manufacture ADCs to GMP standards"
ABK Biomedical,https://www.crunchbase.com/organization/abk-biomedical,"Health Care, Medical","ABK Biomedical is a research and development company innovating next generation embolotherapeutic products and delivery devices for the treatment of uterine fibroids, hypervascularized tumours, and arteriovenous malformations. The company is driven by the unmet clinical need to develop integrated solutions (devices and instruments) to simplify embolotherapy procedures performed by interventional radiologists, particularly uterine fibroid embolization (UFE).  ABK Biomedical is located in Halifax, NS, and was co-founded at Dalhousie University by interventional radiologist, Dr. Bob Abraham, and materials scientists Daniel Boyd and Sharon Kehoe."
Abiquo Group,https://www.crunchbase.com/organization/abiquo-group,"Cloud Computing, Cloud Infrastructure, Cloud Management, Open Source, Software, Virtualization, Web Hosting","Abiquo is one of the original pioneers of cloud computing. This early start, and over 75 man-years of engineering effort, has allowed us to build the broadest and deepest hybrid cloud management software solution available on the market today. Designed from the ground-up as a strategic solution to meet the needs of customers, unlike other solutions, Abiquo was specifically architected to be hardware and hypervisor independent from the start – a tremendous advantage in today’s hybrid cloud environments. You can see from the timeline below that Abiquo’s cloud management software supported multiple infrastructure types from the first version, and has now grown to manage hybrid cloud environments from on-premise hypervisors to Docker containers to public clouds."
Abine,https://www.crunchbase.com/organization/abine,"Ad Network, E-Commerce, FinTech, Information Technology, Internet, Privacy","Abine is a Boston-based online privacy company that provides consumers with easy-to-use tool to manage what personal information other companies, third parties, and people see about them online. Its products include Blur, an online application that protects its users’ passwords, payments, and offers privacy from cyber criminals; and DeleteMe, a subscription service that removes its users’ personal information from people search databases on the web. Its aim is to make the internet better and safer for everyone by providing its users with various privacy tools."
Abbott,https://www.crunchbase.com/organization/abbott,"Biotechnology, Emergency Medicine, Genetics, Health Care, Health Diagnostics, Medical, Medical Device, Venture Capital","Abbott is engaged in pharmaceuticals and manufacturing healthcare products. It developed the first HIV blood-screening test. Its product portfolio includes Norvir, a treatment for HIV; Synthroid, a synthetic thyroid hormone; Depakote, an anticonvulsant drug; and Humira, a drug for rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and more.   Its medical tests and diagnostic instrument systems are manufactured for usage in hospitals, laboratories, blood banks, and physician offices to diagnose and monitor diseases such as HIV, hepatitis, cancer, heart failure and metabolic disorders, and more.   Abbott also operates its product manufacturing segment known as Abbott Point-of-Care. It manufactures diagnostic products for blood analysis. It also provides cardiac assays to the emergency room. It currently has 90,000 employees and operates in over 130 countries. Abbott was established in 1888 by Chicago physician Wallace Calvin Abbott. It is based in Abbott Park, North Chicago, Illinois."
Abbisko Therapeutics,https://www.crunchbase.com/organization/abbisko-therapeutics,"Health Care, Pharmaceutical, Therapeutics",Abbisko Therapeutics is a drug company dedicated to innovative drug research and development.  The company is founded by a group of seasoned drug hunters with rich research and managerial experience in top pharmaceutical companies globally and in China.
Abracar,https://www.crunchbase.com/organization/abracar,"Automotive, Autonomous Vehicles, Car Sharing","Abracar is professional car broker in the Germany. They help car seller to sell their car at the highest price without any effort. Abracar takes care of all steps of the selling process starting by creating a professional expert’s report, over 50 pictures, writing an attractive listing, filtering the potential buyers, negotiating the final price and preparing the contract. The car buyer benefits from the expert’s report, an Allianz warranty, financing solutions as well as competent consulting."
Abpro,https://www.crunchbase.com/organization/abpro,"Biotechnology, Health Diagnostics, Therapeutics","Abpro is a biotechnology firm dedicated to accelerating biological research by providing superior tools to researchers worldwide.  As a pioneer of industrial biochemistry and an emerging leader in the reagents field, they have developed a proprietary technology platform that allows for faster, more efficient production of recombinant proteins and antibodies.  As a result, Abpro delivers superior quality products at industry-leading speeds."
AbSci,https://www.crunchbase.com/organization/absci,"Biopharma, Biotechnology, Manufacturing","AbSci is a global leader in cutting-edge protein production technologies committed to reducing costs in the biopharmaceutical industry. AbSci’s technology enables dramatic reductions in the cost of producing novel and existing biologics, acceleration of drug discovery timelines, and increased efficiency and flexibility throughout the manufacturing process."
Ably Realtime,https://www.crunchbase.com/organization/ably,"Cloud Computing, Cloud Data Services, Cloud Infrastructure, Internet of Things, Messaging, Mobile, Real Time","Ably provides developer tools and global cloud infrastructure for the realtime internet. Some of the things we do: power HubSpot’s chat and collaboration products, provide live score updates for millions of Australian Open tennis fans, keep three million Chicagoans informed everyday with live transit updates, enable transport providers to join the fledgling Realtime API Economy. Ably is a developer-focused company and our users come first. We design our APIs to provide unmatched consistency on every platform, making them simple yet powerful and highly functional. All so our users can focus on what they do best: building next-gen experiences. But there’s always more we can do and we’re always seeking to improve. Our mission is to build the realtime infrastructure needed to power a high-bandwidth, internet-enabled world where mass deployments of Autonomous Vehicles, IoT networks, and AI-powered experiences are the norm."
ABE Global,https://www.crunchbase.com/organization/abe-global,"Blockchain, Marketplace, Stock Exchanges, Trading Platform","ABE Global is an exchange platform for 24/7asset trading. It operates in Europe, North America, and Asia. ABE will provide access and liquidity to issuers and investors by using the performance of a traditional securities exchange and the flexibility of DLT (distributed ledger technology). Led by an experienced team of financial products and system experts — John Pigott (BondPoint), Joel Blom (Thinkorswim, Inc.), and Roderick Psaila (AgriBank PLC) — ABE will maximize market accessibility and democratize capital for more efficient financial products."
Abingdon Health,https://www.crunchbase.com/organization/abingdon-health,"Biotechnology, Health Care, Health Diagnostics, Information Technology, Manufacturing, Medical, Medical Device, Robotics, Software","We are building an innovative technology-led company focused on providing rapid and near-patient medical diagnostic testing solutions. We are developing, manufacturing and selling products and systems that support the migration of testing from the laboratory closer to the patient with the intention of improving both clinical and economic healthcare outcomes. Our initial clinical focus is on developing a range of rapid testing products in the areas of hematology oncology, specifically B-cell dyscrasias. We will use our expertise in immunodiagnostics, plastic electronics, hardware and software, to develop the next generation of testing systems that meet the needs of our customers. Our current platform development is looking to provide customers with a multiplexed, portable, cost-effective and connected rapid testing solution."
ABAKA Holdings,https://www.crunchbase.com/organization/abaka-holdings,"Artificial Intelligence, Finance, Financial Services, FinTech, Information Technology, Retirement, SaaS, Software","ABAKA is a financial wellbeing platform for employees, powered by Artificial Intelligence. It enables employers and pension providers to directly engage, educate and empower their members.   ABAKA enables employers to improve workplace savings awareness, to directly communicate and engage with their staff, and helps to put employees in control of their personal expenses, savings and pensions. ABAKA helps employees develop their own financial knowledge levels by providing them with timely financial advice and personalised nudging."
abillionveg,https://www.crunchbase.com/organization/abillionveg,"Apps, Consumer Reviews, E-Commerce, Internet, Marketplace, Social Impact, Sustainability","At abillionveg we're working to drive a global adoption of more sustainable, plant-based options. Our review platform helps people discover vegan options everywhere, and uses consumer data to influence businesses to offer more sustainable options. The platform inextricably links what people are buying and the life that impacts.  Our goal for the next 10 years is to guide a billion people to adopt a plant-based lifestyle and become the largest sponsor of animal welfare, rescue and advocacy work globally."
Abundance Investment,https://www.crunchbase.com/organization/abundance-investment,"Crowdfunding, Finance, Financial Services",Abundance Investment is the UK's first crowdfunding platform enabling anyone to earn money by investing in UK renewable energy projects.
AbilTo,https://www.crunchbase.com/organization/abilto,"Health Care, Internet, Medical, Psychology","AbilTo (pronounced ""able to"") is a national behavioral healthcare provider, with a network of licensed practitioners in all fifty states. Using a secure telehealth approach, we support individuals facing emotional and behavioral challenges brought on by medical events and life transitions.   Our therapists and behavior coaches help people reclaim their lives. During an eight-week program, participants learn to set achievable goals that get them back on the path to being happier, healthier, and more productive. AbilTo is the brand name used for products and services provided by professional services entities, including AbilTo Behavioral Health Services, P.C. and Sprata Behavioral Licensed Clinical Social Work Services, PLLC., that are managed by or affiliated with AbilTo Inc., a management company."
Abound,https://www.crunchbase.com/organization/abound,"Brand Marketing, Wholesale","The Abound platform connects entrepreneurial brands with the gatekeepers to retail. No matter what the stage your business is in, Abound can provide the insights and representation to make your brand legendary."
Abodewell,https://www.crunchbase.com/organization/abodewell,"Group Buying, Property Management, Real Estate",Abodewell is creating new experiences in buying and selling homes
ABC360,https://www.crunchbase.com/organization/abc360,"E-Learning, Education, Internet","As it is not their main language, many young Chinese people often encounter difficulties understanding and communicating in English. They can write and read English but some could not speak or listen to it well. While it is true that Chinese people would really love to learn English as it contributes to their individual job qualifications, we see that the biggest problems hindering them from learning are time and money. They need flexible time and a reasonable price which traditional English schools cannot offer. ABC360 is more than willing to provide them very good English service with flexible time at a reasonable price so that every young Chinese person can have the opportunity to practice their English communication skills. Speaking and listening are the main focus of our lessons. This is done with foreign English specialists through a 1-on-1 learning process in ABC360."
Abound Solar,https://www.crunchbase.com/organization/abound-solar,"Manufacturing, Renewable Energy, Solar","Abound Solar produces next-generation, thin film photovoltaic modules intended to deliver the lowest levelized cost of electricity."
Abellio,https://www.crunchbase.com/organization/abellio,"Leisure, Transportation, Travel","Abellio operates public transport services in Europe, with both bus and rail networks. It was founded as NedRailways in 2001, before being renamed Abellio in October 2009. It is the international arm of the Dutch national rail operator Nederlandse Spoorwegen. Abellio bought Probo Bus and ran its network in the Czech Republic in 2009. It consisted of regional bus transport in the Beroun District and surroundings and some long-distance bus lines between Prague and South and West Bohemia."
Abzu,https://www.crunchbase.com/organization/abzu,"Information Technology, Software",Abzu realizes the potential of artificial general intelligence by allowing our customers to build AI solutions using our SaaS platform automatically.  Our technology is based on a brain-like approach and means our clients can bypass the need for manual data preparation and modeling.
Abelee,https://www.crunchbase.com/organization/abelee,"Artificial Intelligence, FinTech, Information Technology, Machine Learning","Abelee applies data science in the financial markets. Founded in 2017 by experienced academics, engineers, and traders, they combine modern data science with a unique technology stack and deep knowledge of risk management to create adaptive data-driven models and strategies. Their attitude is innovative and collaborative with the goal to create long-term partnerships built on trust."
Abom,https://www.crunchbase.com/organization/abom,"Retail, Sporting Goods, Sports","Abom is a group of inventors, scientists, and designers on a mission to make the future more fun. They're using Their superpowers to create world-class gear and solve the problems that get in the way of good times."
Abbot's Butcher,https://www.crunchbase.com/organization/the-abbot-s-butcher,"Food and Beverage, Food Processing, Restaurants",
Abakus,https://www.crunchbase.com/organization/abakus,"Advertising, Advertising Platforms, Software","Abakus, Inc. provides software solutions to increase the effectiveness of marketing campaigns. It offers data and insights that allow media agencies and advertisers to optimize their campaigns; and enable them to take better media planning and buying decisions by calculating the true marginal value of marketing channels, providers, and placements. The company was founded in 2013 and is based in Emeryville, California. Abakus, Inc. operates as a subsidiary of Exponential Interactive Inc."
